Geneid	Chr	Start	End	Strand	Length	70aU	70bU	70ai	70bi	RAD50-3U	RAD50-4U	RAD50-3i	RAD50-4i
Tb427_000484800:pseudogene	Chr8_3A_Tb427v10	22813	23225	-	413	0	0	0	0	2	0	0	0
Tb427_000852200	Chr1_3B_Tb427v10	551287	552312	-	1026	0	0	0	0	0	0	0	0
Tb427_000711500	unitig_2119_Tb427v10	33662	35122	-	1461	0	2	4	2	24	10	0	2
Tb427_080009900	Chr8_core_Tb427v10	170295	171674	-	1380	2	46	7	0	10	16	2	16
Tb427_000455500:pseudogene	Chr7_5A_Tb427v10	66291	67560	+	1270	0	20	0	0	2	14	16	24
Tb427_080080700	Chr8_core_Tb427v10	2032362	2036699	+	4338	0	0	7	0	25	4	7	0
Tb427_000205200:pseudogene	Chr1_3A_Tb427v10	908765	909654	-	890	0	0	0	0	0	0	0	0
Tb427_110172300	Chr11_core_Tb427v10	4150378	4150770	-	393	0	27	2	0	2	2	4	2
Tb427_050025200	Chr5_core_Tb427v10	641561	644563	+	3003	0	3	0	0	2	5	0	0
Tb427_100126600	Chr10_core_Tb427v10	2902751	2903233	+	483	0	0	0	0	0	0	0	0
Tb427_050008100	Chr5_core_Tb427v10	122534	124105	-	1572	21	9	0	0	2	16	0	4
Tb427_110091200	Chr11_core_Tb427v10	2332823	2334487	+	1665	8	28	2	6	22	79	8	4
Tb427_000268600	Chr1_5A_Tb427v10	2122	2547	+	426	0	0	0	0	0	0	0	0
Tb427_000014700	BES1_Tb427v10	35523	39329	+	3807	0	58	4	2	66	66	2	14
Tb427_100161000	Chr10_core_Tb427v10	3720518	3721330	+	813	0	10	6	10	49	2	4	8
Tb427_080033100	Chr8_core_Tb427v10	724883	725025	+	143	0	0	0	0	0	0	0	0
Tb427_000337200:pseudogene	Chr4_3B_Tb427v10	70245	71747	-	1503	0	0	0	0	0	0	0	0
Tb427_110040600	Chr11_core_Tb427v10	1007360	1008232	+	873	0	0	0	0	0	0	0	0
Tb427_000143300	Chr11_3A_Tb427v10	1031980	1033456	-	1477	0	0	0	0	0	0	0	0
Tb427_000112700:pseudogene	Chr11_3A_Tb427v10	77701	78942	+	1242	0	0	0	0	0	0	0	0
Tb427_000444300:pseudogene	Chr6_3B_Tb427v10	766136	767513	-	1378	0	0	0	0	0	0	0	0
Tb427_110053300	Chr11_core_Tb427v10	1352318	1352818	+	501	0	0	0	2	4	0	0	0
Tb427_000643800:pseudogene	unitig_182_Tb427v10	15869	16558	+	690	0	0	0	0	2	0	0	0
Tb427_080079100	Chr8_core_Tb427v10	1974344	1975087	+	744	0	0	0	0	0	0	0	1
Tb427_000412900:pseudogene	Chr6_3A_Tb427v10	1071080	1074297	+	3218	0	0	0	0	0	0	0	0
Tb427_000079900	Chr10_3B_Tb427v10	153575	153940	-	366	0	0	0	0	0	0	0	0
Tb427_000617600:pseudogene	Chr9_5A_Tb427v10	55479	56910	+	1432	0	0	0	0	0	0	0	0
Tb427_000096500:pseudogene	Chr10_3B_Tb427v10	633484	635006	-	1523	0	0	0	0	0	0	0	0
Tb427_000172400	Chr11_3B_Tb427v10	874526	874686	+	161	0	0	0	0	0	0	0	0
Tb427_000498700:pseudogene	Chr8_3A_Tb427v10	461909	463770	+	1862	3	0	2	0	2	0	0	0
Tb427_000352000:pseudogene	Chr5_3A_Tb427v10	79267	80177	-	911	0	0	0	0	0	0	0	0
Tb427_070053800:pseudogene	Chr7_core_Tb427v10	1267177	1267650	-	474	0	2	0	0	0	0	0	0
Tb427_000300200:pseudogene	Chr3_5A_Tb427v10	370706	371679	+	974	0	0	0	0	0	0	0	0
Tb427_040028200	Chr4_core_Tb427v10	599853	601193	+	1341	0	5	0	7	0	0	6	6
Tb427_050031700	Chr5_core_Tb427v10	873481	876603	+	3123	0	2	1	0	0	2	1	0
Tb427_040038300	Chr4_core_Tb427v10	830850	831518	-	669	0	0	0	0	2	0	0	0
Tb427_000695200:pseudogene	unitig_1976_Tb427v10	3	526	+	524	0	0	0	0	0	0	0	0
Tb427_000587800	Chr9_3A_Tb427v10	1095989	1097401	+	1413	0	0	0	0	0	0	0	0
Tb427_000647200:pseudogene	unitig_1841_Tb427v10	2364	2827	+	464	0	0	0	0	0	0	0	0
Tb427_060030800	Chr6_core_Tb427v10	673387	674826	+	1440	0	22	0	0	0	1	0	0
Tb427_040043600	Chr4_core_Tb427v10	1002810	1003799	-	990	0	0	0	0	2	0	0	4
Tb427_000619700	Chr9_5A_Tb427v10	113114	113536	+	423	0	0	0	0	0	0	0	0
Tb427_000087500	Chr10_3B_Tb427v10	366454	367350	+	897	0	0	0	0	0	0	0	0
Tb427_080014800	Chr8_core_Tb427v10	316228	316346	-	119	0	0	0	0	0	0	0	0
Tb427_080041500	Chr8_core_Tb427v10	976599	977705	-	1107	0	11	2	4	3	5	4	7
Tb427_000036600:pseudogene	Chr10_3A_Tb427v10	367009	369711	-	2703	0	0	0	0	0	0	0	0
Tb427_000485700	Chr8_3A_Tb427v10	49270	49692	+	423	61	22	0	2	19	14	11	14
Tb427_000525100:pseudogene	Chr8_5B_Tb427v10	34048	35109	-	1062	0	0	0	0	0	0	0	0
Tb427_090057300	Chr9_core_Tb427v10	1301348	1305697	-	4350	39	86	8	13	33	8	8	26
Tb427_000047800	Chr10_3A_Tb427v10	713589	715358	+	1770	0	0	0	0	0	0	0	0
Tb427_000160100	Chr11_3B_Tb427v10	488672	488974	+	303	0	0	0	0	0	0	0	0
Tb427_000735100:pseudogene	unitig_2216_Tb427v10	9228	11552	-	2325	0	0	0	0	0	2	0	0
Tb427_090043700	Chr9_core_Tb427v10	1001004	1005092	-	4089	0	20	2	0	0	0	2	0
Tb427_000271600:pseudogene	Chr1_5A_Tb427v10	105363	106327	+	965	0	0	0	0	0	0	0	0
Tb427_090045800	Chr9_core_Tb427v10	1052893	1053657	-	765	66	63	26	27	20	35	13	19
Tb427_110081500	Chr11_core_Tb427v10	2086682	2087440	-	759	0	0	0	0	0	0	0	0
Tb427_000534700	Chr8_5B_Tb427v10	325663	326241	+	579	0	0	0	0	0	0	1	3
Tb427_000496500:pseudogene	Chr8_3A_Tb427v10	379389	379970	+	582	0	0	0	0	0	0	0	0
Tb427_000007900	BES12_Tb427v10	36053	37045	+	993	0	0	0	0	0	0	0	2
Tb427_100138800	Chr10_core_Tb427v10	3198118	3199149	-	1032	0	0	0	0	0	4	0	0
Tb427_000662000:pseudogene	unitig_1863_Tb427v10	7579	9229	+	1651	0	0	0	0	0	0	0	0
Tb427_110076800	Chr11_core_Tb427v10	1975097	1975756	-	660	0	8	0	0	0	0	2	0
Tb427_000719700	unitig_2140_Tb427v10	16467	17486	+	1020	0	0	0	0	0	0	0	0
Tb427_000408700:pseudogene	Chr6_3A_Tb427v10	946022	947372	-	1351	0	0	0	0	0	0	0	0
Tb427_000383700:pseudogene	Chr6_3A_Tb427v10	168889	169816	-	928	0	0	0	0	0	0	4	0
Tb427_100037700	Chr10_core_Tb427v10	829567	829815	+	249	0	31	10	2	0	10	1	4
Tb427_090034900	Chr9_core_Tb427v10	775000	776940	+	1941	0	10	2	0	8	0	2	3
Tb427_000432300:pseudogene	Chr6_3B_Tb427v10	359925	361527	+	1603	0	0	0	0	0	0	0	0
